City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
3833367,Ushuaia,20,AR,1603764187,39,-54.8,-68.3,48.2,18.34
4030556,Rikitea,100,PF,1603764188,86,-23.12,-134.97,75.38,14.34
3939761,Hualmay,79,PE,1603764189,82,-11.1,-77.61,63.93,8.14
556268,Ostrovnoy,100,RU,1603764164,94,68.05,39.51,41.43,23.94
4231997,Avera,40,US,1603764191,90,33.19,-82.53,64.4,3.85
5106841,Albany,100,US,1603763992,89,42.6,-73.97,51.01,1.5
2136150,Luganville,40,VU,1603764193,66,-15.53,167.17,84.2,11.41
2155415,New Norfolk,88,AU,1603764195,48,-42.78,147.06,59.0,3.0
3421319,Nuuk,93,GL,1603764196,63,64.18,-51.72,28.4,4.7
3601282,Sinuapa,88,HN,1603764197,90,14.45,-89.18,66.67,2.13
2122574,Ola,81,RU,1603764198,75,59.58,151.28,35.78,10.54
3628473,San Cristobal,19,VE,1603764051,90,7.77,-72.22,67.28,2.01
863061,Usinsk,100,RU,1603764200,95,65.99,57.53,15.26,7.78
1806840,Huilong,93,CN,1603764202,75,31.81,121.66,71.01,3.0
2986626,Plouzané,100,FR,1603764203,87,48.38,-4.62,53.6,13.87
2030065,Mandalgovi,0,MN,1603764091,60,45.76,106.27,33.46,6.89
3412093,Vestmannaeyjar,100,IS,1603764205,74,63.44,-20.27,42.55,37.65
1174062,Kharan,0,PK,1603764051,36,28.58,65.42,52.99,0.4
2120047,Ust'-Omchug,0,RU,1603764207,91,61.15,149.63,22.8,6.11
3985710,Cabo San Lucas,20,MX,1603763940,65,22.89,-109.91,84.2,12.75
2138555,Poum,91,NC,1603764102,75,-20.23,164.02,76.39,12.33
2206939,Bluff,21,NZ,1603764087,62,-46.6,168.33,57.99,5.99
2122090,Pevek,95,RU,1603764213,93,69.7,170.31,21.45,20.27
3471451,Arraial do Cabo,3,BR,1603764101,88,-22.97,-42.03,72.07,11.25
2894394,Jüterbog,93,DE,1603764215,87,51.98,13.08,46.99,8.37
6201424,Mataura,76,NZ,1603763992,62,-46.19,168.86,57.99,5.99
7626405,Skibotn,0,NO,1603764217,80,69.39,20.27,41.0,31.09
5970873,Hare Bay,90,CA,1603764218,64,48.85,-54.01,35.6,5.82
1071296,Antalaha,11,MG,1603764219,83,-14.9,50.28,68.79,5.35
915285,Kalengwa,89,ZM,1603764220,42,-13.47,25.0,66.76,4.27
3386213,Touros,75,BR,1603764088,88,-5.2,-35.46,77.0,4.7
2084442,Vanimo,0,PG,1603764222,60,-2.67,141.3,85.73,5.1
4353765,Dundalk,90,US,1603764223,100,39.25,-76.52,59.0,0.63
3452483,Prado,1,BR,1603764224,91,-17.34,-39.22,72.99,3.87
2092164,Lorengau,79,PG,1603764226,76,-2.02,147.27,82.69,3.62
3423146,Ilulissat,100,GL,1603764008,73,69.22,-51.1,19.4,2.24
2264557,Ponta do Sol,20,PT,1603764229,68,32.67,-17.1,66.2,10.29
2163355,Hobart,75,AU,1603763933,54,-42.88,147.33,59.0,10.29
964432,Port Alfred,85,ZA,1603764084,86,-33.59,26.89,67.42,25.66
3761194,Miraflores,40,MX,1603764233,45,19.22,-98.81,66.2,10.29
3416888,Grindavik,75,IS,1603764234,73,63.84,-22.43,37.4,18.34
5983720,Iqaluit,90,CA,1603764236,85,63.75,-68.51,17.6,3.36
3355672,Lüderitz,0,NA,1603764237,81,-26.65,15.16,57.9,9.24
934322,Mahébourg,40,MU,1603763995,78,-20.41,57.7,71.6,8.05
3666409,Uribia,91,CO,1603764239,76,11.71,-72.27,81.25,12.57
104515,Makkah al Mukarramah,0,SA,1603764240,74,21.43,39.83,73.24,0.6
5563839,Fortuna,1,US,1603764241,66,40.6,-124.16,53.01,6.93
295277,Eilat,0,IL,1603763944,36,29.56,34.95,75.2,5.91
3382160,Cayenne,20,GF,1603764243,100,4.93,-52.33,78.8,4.7
707296,Izyaslav,0,UA,1603764245,92,50.12,26.82,48.33,7.49
3860443,Comodoro Rivadavia,0,AR,1603764246,42,-45.87,-67.5,62.6,12.75
4032243,Vaini,75,TO,1603764159,94,-21.2,-175.2,73.4,9.17
1513491,Yangi Marg`ilon,0,UZ,1603764248,52,40.43,71.72,41.0,6.93
3366880,Hermanus,0,ZA,1603764249,85,-34.42,19.23,62.01,1.99
4034496,Fare,94,PF,1603764250,75,-16.7,-151.02,81.48,17.09
1786640,Chengzhong,82,CN,1603764251,77,30.95,113.55,66.2,2.24
3668605,Santa Marta,55,CO,1603764252,79,11.24,-74.2,84.0,1.01
2022572,Khatanga,90,RU,1603764253,94,71.97,102.5,1.81,9.1
3831208,Qaanaaq,99,GL,1603764160,77,77.48,-69.36,8.76,8.99
2110227,Butaritari,11,KI,1603764255,68,3.07,172.79,81.55,10.89
5848280,Kapaa,90,US,1603764101,88,22.08,-159.32,71.6,11.41
1078553,Ampanihy,0,MG,1603764257,75,-24.7,44.75,67.28,4.12
6180550,Whitehorse,40,CA,1603764047,28,60.72,-135.05,46.4,13.87
5282297,Bethel,90,US,1603764259,100,41.37,-73.41,54.0,0.6
3926438,Urubamba,80,PE,1603764041,58,-13.3,-72.12,58.03,3.76
3874787,Punta Arenas,20,CL,1603764261,75,-53.15,-70.92,44.6,24.16
4034551,Faanui,100,PF,1603764074,76,-16.48,-151.75,80.65,17.65
933995,Souillac,40,MU,1603764114,78,-20.52,57.52,71.6,8.05
1628884,Sampit,100,ID,1603764265,95,-2.53,112.95,74.55,4.12
1714733,Dingle,83,PH,1603764266,81,11.0,122.67,82.17,7.25
1182092,Būrewāla,0,PK,1603764267,28,30.17,72.65,64.8,1.41
2127202,Anadyr,75,RU,1603764268,92,64.75,177.48,21.2,6.71
2075265,Busselton,69,AU,1603764089,66,-33.65,115.33,68.0,5.99
878281,Lindi,40,TZ,1603764271,83,-10.0,39.72,75.2,5.82
2074865,Carnarvon,0,AU,1603764144,69,-24.87,113.63,73.4,25.28
6170031,Tuktoyaktuk,20,CA,1603764055,78,69.45,-133.04,10.4,12.75
3135601,Olden,38,NO,1603764274,87,61.84,6.81,34.0,6.73
3932145,Pisco,0,PE,1603764142,82,-13.7,-76.22,63.0,16.11
2134814,Sola,33,VU,1603764276,81,-13.88,167.55,80.11,20.4
3924908,Pimenta Bueno,97,BR,1603764278,90,-11.67,-61.19,74.7,2.51
6185377,Yellowknife,90,CA,1603764028,67,62.46,-114.35,23.0,11.41
2400547,Gamba,100,GA,1603764281,88,-2.65,10.0,76.03,5.7
5919850,Chapais,90,CA,1603764161,86,49.78,-74.85,28.4,11.41
2331140,Makurdi,100,NG,1603764284,89,7.74,8.51,75.0,3.89
